description,playlist_external_urls,playlist_href,playlist_id,images,playlist_name,playlist_owner,snapshot_id,tracks,type,playlist_uri,category_name,category_id
Our editorial picks of this year's best indie songs. #SpotifyWrapped,https://open.spotify.com/playlist/37i9dQZF1DX0lyZ45Ayi9S,https://api.spotify.com/v1/playlists/37i9dQZF1DX0lyZ45Ayi9S,37i9dQZF1DX0lyZ45Ayi9S,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f0000000393433469cd26278febee5a53', 'width': 0}]",Best Indie Songs of 2022,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY2OTgxNTkwMCwwMDAwMDAwMDdjNmIwNGMzZDdkMjI2NzI4Y2NmYzgzNmI2ZWFhNzhl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0lyZ45Ayi9S/tracks', 'total': 75}",playlist,spotify:playlist:37i9dQZF1DX0lyZ45Ayi9S,Indie,0JQ5DAqbMKFCWjUTdzaG0e
the best of the best tracks. Cover: The Yeah Yeah Yeahs,https://open.spotify.com/playlist/37i9dQZF1DX26DKvjp0s9M,https://api.spotify.com/v1/playlists/37i9dQZF1DX26DKvjp0s9M,37i9dQZF1DX26DKvjp0s9M,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000034790f8af15fac9bc51c9657b', 'width': 0}]",Essential Indie,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3NTQ0OTcxOSwwMDAwMDAwMGYzZjkzNjY0MzI4OWNkN2UyMzM0NjRlNjQ2ODRiOTNk,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX26DKvjp0s9M/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX26DKvjp0s9M,Indie,0JQ5DAqbMKFCWjUTdzaG0e
These early pioneers brought the underground to the foreground. Cover: Lou Reed. ,https://open.spotify.com/playlist/37i9dQZF1DXdTCdwCKzXwo,https://api.spotify.com/v1/playlists/37i9dQZF1DXdTCdwCKzXwo,37i9dQZF1DXdTCdwCKzXwo,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f0000000357512b32852e92f3cc2d5c54', 'width': 0}]",Early Alternative,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3MDAwNjg5NywwMDAwMDAwMDQyZWI5ZmQyYjZhNDA0YjA3YzUzZjFjN2FhZjU3YmJj,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXdTCdwCKzXwo/tracks', 'total': 75}",playlist,spotify:playlist:37i9dQZF1DXdTCdwCKzXwo,Indie,0JQ5DAqbMKFCWjUTdzaG0e
"Glimmering, warm, and bright memories: Broadcast on the cover.",https://open.spotify.com/playlist/37i9dQZF1DXcNf6sH1qnKU,https://api.spotify.com/v1/playlists/37i9dQZF1DXcNf6sH1qnKU,37i9dQZF1DXcNf6sH1qnKU,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000034f1883bcac8e10d210f69d7f', 'width': 0}]",Dreampop Classics,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY2MDAwNDkyMiwwMDAwMDAwMGM1MjQwM2E1MTBmZDIxNGYyMDFjNzc2ZmY5ODQyNDIy,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcNf6sH1qnKU/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DXcNf6sH1qnKU,Indie,0JQ5DAqbMKFCWjUTdzaG0e
Music that created modern indie as we know it. Cover: MGMT ,https://open.spotify.com/playlist/37i9dQZF1DX9LbdoYID5v7,https://api.spotify.com/v1/playlists/37i9dQZF1DX9LbdoYID5v7,37i9dQZF1DX9LbdoYID5v7,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003732a8b20f00534714a0b5f22', 'width': 0}]",The 2000s Indie Scene,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3NDAwMzg4NCwwMDAwMDAwMDgwYzI3N2EyYjFmYzkxYjJlMWJhYWU3Y2JmMzU0NDAz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX9LbdoYID5v7/tracks', 'total': 75}",playlist,spotify:playlist:37i9dQZF1DX9LbdoYID5v7,Indie,0JQ5DAqbMKFCWjUTdzaG0e
Seminal indie pop tracks from the 2010s. Cover: Blood Orange.,https://open.spotify.com/playlist/37i9dQZF1DXaLaoaQqrfyO,https://api.spotify.com/v1/playlists/37i9dQZF1DXaLaoaQqrfyO,37i9dQZF1DXaLaoaQqrfyO,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003ece98f573dece1838e518379', 'width': 0}]", Indie Pop 2010s,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3NDU4NjE3NiwwMDAwMDAwMGNjNDc5NmI1Y2ZlNzBiODFlZThhY2MyZDljNGY4NjNk,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXaLaoaQqrfyO/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DXaLaoaQqrfyO,Indie,0JQ5DAqbMKFCWjUTdzaG0e
The best alternative songs of the decade. Cover: The 1975,https://open.spotify.com/playlist/37i9dQZF1DX873GaRGUmPl,https://api.spotify.com/v1/playlists/37i9dQZF1DX873GaRGUmPl,37i9dQZF1DX873GaRGUmPl,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f0000000389445b70e84766fc927775a3', 'width': 0}]",Alternative 10s,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3MzM1ODQ2MywwMDAwMDAwMDBmYzEyNDBiZDYwZWYxMzNkODljOTQwMjE4MGMwZmQ3,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX873GaRGUmPl/tracks', 'total': 80}",playlist,spotify:playlist:37i9dQZF1DX873GaRGUmPl,Indie,0JQ5DAqbMKFCWjUTdzaG0e
The essential beautiful noise: sweet and sour fuzz to warm your heart. Cover: my bloody valentine,https://open.spotify.com/playlist/37i9dQZF1DX6ujZpAN0v9r,https://api.spotify.com/v1/playlists/37i9dQZF1DX6ujZpAN0v9r,37i9dQZF1DX6ujZpAN0v9r,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f00000003296aeddc9f01c0d09aa6fff9', 'width': 0}]",Shoegaze Classics,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3MzQ1MDc1OCwwMDAwMDAwMGU1Y2E5OWQ0MzgwMWZhZmFjNWM1ZDQwN2NjOTA4ODgz,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX6ujZpAN0v9r/tracks', 'total': 175}",playlist,spotify:playlist:37i9dQZF1DX6ujZpAN0v9r,Indie,0JQ5DAqbMKFCWjUTdzaG0e
All the indelible tunes from the other side of the 00s. Cover: Santigold,https://open.spotify.com/playlist/37i9dQZF1DX0YKekzl0blG,https://api.spotify.com/v1/playlists/37i9dQZF1DX0YKekzl0blG,37i9dQZF1DX0YKekzl0blG,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000039c2963ddd26ee6c4b3275749', 'width': 0}]",Alternative 00s,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3MzM1ODYwOCwwMDAwMDAwMDQ2ZDNhMzBjMDU4NzhlZGU2Nzg5N2QwMWI3Y2ExMjRi,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX0YKekzl0blG/tracks', 'total': 80}",playlist,spotify:playlist:37i9dQZF1DX0YKekzl0blG,Indie,0JQ5DAqbMKFCWjUTdzaG0e
"Britpop, trip-hop, grunge and more from the other side of the 90s. Cover: The Cure",https://open.spotify.com/playlist/37i9dQZF1DXaLI8a395lse,https://api.spotify.com/v1/playlists/37i9dQZF1DXaLI8a395lse,37i9dQZF1DXaLI8a395lse,"[{'height': 0, 'url': 'https://i.scdn.co/image/ab67706f000000031222b70822f0e61230f751da', 'width': 0}]",Alternative 90s,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",MTY3MzM1ODI1MywwMDAwMDAwMDRlNTQ5YjZmYWMxYTllZTQxNGFlZmY0ZjZjZjgzOWY4,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXaLI8a395lse/tracks', 'total': 80}",playlist,spotify:playlist:37i9dQZF1DXaLI8a395lse,Indie,0JQ5DAqbMKFCWjUTdzaG0e
